WD,Av_WS,Mx_WS,1h_RF,24h_RF,Tem,Hum,b_PR
315,0,0.89,0,0,17.78,54,1005.7
45,0,0.45,0,0,17.78,54,1005.7
0,0,0.89,0,0,17.78,55,1005.6
0,0,0.89,0,0,17.78,55,1005.6
90,0,0.45,0,0,17.22,56,1005.6
45,0,0.45,0,0,17.22,57,1005.6
0,0,0,0,0,17.78,55,1005.6
45,0,0.45,0,0,17.22,56,1005.5
0,0,0.45,0,0,17.22,55,1005.5
0,0,0,0,0,17.78,55,1005.6
45,0,0,0,0,17.78,54,1005.6
45,0,0.45,0,0,17.78,55,1005.6
0,0,0.45,0,0,17.78,55,1005.6
45,0,0.45,0,0,17.22,57,1005.5
45,0,0.45,0,0,17.78,55,1005.6
0,0,0.45,0,0,17.78,55,1005.5
0,0,0.45,0,0,17.22,55,1005.5
0,0,0,0,0,17.78,56,1005.6
0,0,0,0,0,17.22,56,1005.7
0,0,0,0,0,17.78,56,1005.6
0,0,0,0,0,17.78,56,1005.6
0,0,0,0,0,17.22,55,1005.6
0,0,0,0,0,17.78,55,1005.6
45,0,0.45,0,0,17.22,55,1005.6
45,0,0.45,0,0,17.78,56,1005.7
45,0,0,0,0,17.78,55,1005.7
0,0,0.45,0,0,17.78,54,1005.7
45,0,0,0,0,17.78,55,1005.7
0,0,0.45,0,0,17.78,54,1005.8
90,0,0.45,0,0,18.33,54,1005.8
90,0,0,0,0,17.78,55,1005.8
45,0,0,0,0,17.78,54,1005.9
45,0,0.45,0,0,17.78,54,1005.9
45,0,0.45,0,0,17.78,54,1006
45,0,0.89,0,0,17.78,54,1006
315,0,0.89,0,0,18.33,54,1006.1
45,0,0.45,0,0,18.33,53,1006
0,0,0.45,0,0,18.33,54,1006
0,0,0.45,0,0,18.33,55,1006.1
0,0,0.45,0,0,18.89,55,1006.2
0,0,0,0,0,18.89,56,1006.2
0,0,0,0,0,18.89,56,1006.2
0,0,0.45,0,0,18.89,54,1006.2
45,0,0.89,0,0,19.44,53,1006.2
315,0,0.89,0,0,20,49,1006.3
0,0,0.89,0,0,21.11,46,1006.2
225,0,0,0,0,22.22,43,1006.2
0,0,0.45,0,0,24.44,37,1006.2
225,0,0.45,0,0,23.89,39,1006.2
225,0,0.45,0,0,24.44,39,1006.2
0,0,0,0,0,26.11,36,1006.1
45,0,0,0,0,27.22,35,1006.2
45,0,0,0,0,31.67,30,1006
270,0,0,0,0,34.44,27,1006
270,0,0.45,0,0,36.11,26,1006
225,0,0.45,0,0,36.67,25,1006
225,0,0,0,0,37.78,25,1005.9
225,0,0,0,0,38.89,24,1005.9
45,0,0.45,0,0,40,24,1005.9
45,0,0,0,0,40,24,1005.9
45,0,0,0,0,41.11,23,1005.9
45,0,0,0,0,41.67,23,1005.9
45,0,0,0,0,42.22,22,1005.9
45,0,0,0,0,42.78,22,1005.9
315,0,0,0,0,43.33,22,1005.9
270,0,0.45,0,0,43.89,22,1005.9
270,0,0.45,0,0,44.44,21,1006
270,0,0.45,0,0,44.44,21,1006
270,0,0,0,0,45,21,1006
270,0,0.45,0,0,45,21,1006.1
315,0,0.45,0,0,45,21,1006.1
315,0,0.45,0,0,45.56,21,1006.1
315,0,0,0,0,45.56,21,1006.1
315,0,0,0,0,46.11,21,1006.1
315,0,0,0,0,46.11,21,1006
315,0,0.45,0,0,45.56,21,1005.3
315,0,0.45,0,0,38.33,25,1005.5
270,0,0.45,0,0,36.11,26,1005.5
270,0,0.45,0,0,35.56,26,1005.6
315,0,0,0,0,33.33,29,1005.3
270,0,0.89,0,0,32.78,29,1005.4
270,0,0.89,0,0,32.78,30,1005.4
270,0,0.45,0,0,32.22,29,1005.4
270,0,0.45,0,0,32.22,30,1005.3
270,0,0,0,0,32.22,30,1005.3
0,0,0,0,0,32.78,29,1005.2
0,0,0,0,0,32.78,30,1005.2
315,0,0.45,0,0,32.78,30,1005.1
315,0,0.45,0,0,32.22,29,1005.1
315,0,0,0,0,31.67,30,1005.1
315,0,0,0,0,32.22,30,1005
315,0,0,0,0,32.78,29,1004.9
315,0,0.45,0,0,32.78,29,1004.8
315,0,0.45,0,0,32.78,30,1004.8
315,0,0,0,0,32.78,29,1004.8
315,0,0,0,0,32.78,30,1004.8
0,0,0,0,0,32.78,30,1004.8
0,0,0,0,0,32.78,30,1004.7
0,0,0,0,0,32.78,30,1004.8
0,0,0,0,0,32.78,30,1004.7
0,0,0,0,0,32.78,30,1004.6
90,0,0.45,0,0,33.33,28,1004.6
45,0,0.89,0,0,33.33,30,1004.6
45,0,0,0,0,33.89,29,1004.6
45,0,0,0,0,33.89,29,1004.6
45,0,0,0,0,33.89,29,1004.6
270,0,0.89,0,0,33.89,30,1004.5
315,0,0.89,0,0,33.89,30,1004.5
315,0,0.45,0,0,33.89,29,1004.4
45,0,0.45,0,0,33.89,29,1004.4
45,0,0.45,0,0,33.89,29,1004.3
45,0,0.89,0,0,33.33,29,1004.3
0,0,0.89,0,0,33.33,30,1004.3
0,0,0,0,0,33.89,29,1004.2
